Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,76,86,90,76.346756,18,16,784.71069,392.35535,1.4939076,6.6938543,9.1392832,38.046001,27.455,66.745697,21.96526,0.45140976,0.31072703,870,0,861,0.009148816,580
0.39999998,66,60,57,65.387077,36,35,292.89297,146.44649,1.5030754,3.9918158,5.5799446,24.688999,17.712999,31.537994,20.006622,0.80528492,0.5775525,348.44,0,347.20001,-0.009472521,562
0.39999998,67,76,80,67.361267,35,2002,741.28137,370.64069,1.513344,5.9470944,8.3515263,41.102001,14.924,54.952118,4.0886292,1.3479986,0.40215501,347.82001,0,346.58002,0,561
0.39999998,70,60,57,69.372978,36,14,816.18896,272.06296,1.5159059,6.5967159,8.1621017,41.148998,15.734,48.79808,2.6749613,0.89674568,0.30302891,270.32001,10,269.08002,10.089472,436
0.39999998,71,77,82,71.214325,18,19,398.69131,79.738258,1.5194067,3.9489098,7.0986099,32.632999,18.066999,57.041042,37.573151,0.42723802,0.23519439,344.10001,0,342.86002,0.001701715,555
0.39999998,42,33,30,41.344109,39,39,529.71289,88.285477,1.5417991,5.8373365,7.3577089,31.024,24.688,16.968079,13.975167,0.33281884,0.26474947,337.28,4,336.04001,4.0006037,544
0.39999998,69,78,84,69.133675,16,18,806.50964,115.21565,1.5421035,5.836184,9.6402903,42.806999,26.517,59.72826,62.886852,0.3845048,0.24931125,354.63998,11,353.39999,10.687167,572
0.39999998,71,76,80,71.385742,37,44,446.935,223.4675,1.5452939,3.2356305,5.5745111,44.466999,25.722,69.228928,29.173126,1.4583585,0.84542722,295.73999,0,294.5,0,477
0.39999998,25,18,15,24.339861,140,3,1335.8918,1335.8918,1.5455675,4.5290809,6.0429978,46.951,34.256001,66.628387,37.025253,6.0033011,4.3857532,183,16,182,16.16571,366
0.39999998,63,52,46,62.860748,14,43,916.33533,183.26704,1.5573711,7.0631847,10.826416,19.878,27.865999,2.5628955,29.878273,0.51532084,0.81660253,229,5,228,5.194716,458
0.39999998,64,75,80,64.237991,19,36,315.94067,78.985168,1.5638992,7.0337014,10.078661,14.221,9.993,51.339413,15.997452,0.23023599,0.1642243,287.67999,5,286.44,4.9904122,464
0.39999998,77,82,87,77.239708,17,21,473.49573,94.699135,1.5670341,3.1907411,6.2285128,45.237,23.174,40.977955,74.71032,1.2799451,0.65569001,245,5,244,5.0035014,490
0.39999998,39,50,56,39.143433,37,2,767.72083,153.54416,1.5685906,7.0126648,10.746314,36.367001,10.842,77.721275,0.97387993,1.058121,0.28168529,232,3,231,2.8885806,464
0.39999998,28,19,15,27.589617,140,140,1197.0792,1197.0792,1.5764966,5.7088609,7.9858193,32.733002,23.389999,31.951612,17.374685,4.1888084,2.9928443,189,8,188,8.1268349,378
0.39999998,45,38,31,44.911243,43,2001,474.77542,474.77542,1.5823284,4.4238605,8.7916279,35.515999,8.7510004,84.772789,9.2591457,0.8243705,0.16206719,766.5,2,760.5,2.0323002,511
0.39999998,62,73,78,62.250977,2001,44,1178.6346,294.65866,1.5873287,6.9298816,9.9217157,27.474001,37.426998,30.028379,62.762714,0.79502231,1.3824105,240,0,239,0.005335647,480
0.39999998,63,72,77,63.255501,36,23,827.44641,165.48929,1.5953432,5.6414194,8.615387,46.168999,28.757999,13.433613,13.990087,0.21756567,0.13018958,784.5,7,778.5,6.9696279,523
0.39999998,58,69,74,58.258499,9,21,918.83563,131.26224,1.6006142,6.8723621,9.8346624,42.213001,27.882999,3.6090491,11.259169,0.14185466,0.090163141,846,0,843,-0.001378826,564
0.39999998,72,60,57,71.255203,36,18,801.53644,200.38411,1.6186565,7.4135556,8.8068113,33.622002,28.111,18.071009,27.770826,0.19804938,0.16489865,895.5,0,886.5,-0.000943552,597
0.39999998,31,22,16,30.82725,11,12,1239.0459,1239.0459,1.6425585,5.4792571,9.0269232,33.451,20.434,36.917397,15.154179,4.3896184,2.5496235,179.5,0,178.5,0,359
0.39999998,44,35,30,43.70969,43,42,816.83154,102.10394,1.6547035,5.4390407,8.285285,47.681999,31.438999,15.865468,10.880903,0.38407475,0.25319725,332.94,0,331.70001,-0.000107051,537
0.39999998,60,54,50,59.516182,19,11,461.4816,230.7408,1.6645904,3.6044905,5.7168312,38.949001,11.783,89.384384,0.61451715,1.2476013,0.34791511,365.17999,0,363.94,-0.003466648,589
0.39999998,62,54,50,61.511787,20,20,231.01089,77.003624,1.669657,4.7914033,6.894702,13.794,9.5860004,52.976746,38.966301,0.28910396,0.20090985,286.44,0,285.20001,-8.48E-05,462
0.39999998,68,76,80,68.490265,42,3,675.58917,337.79459,1.672016,4.7846432,6.8837471,42.109001,13.893,60.463326,3.2184618,3.1073055,0.91002941,168.5,0,167.5,0.003546144,337
